File_Name,Formula,Is_Valid,Is_Novel,Raw_Energy_per_Atom,Relaxed_Energy_per_Atom,Energy_Drop,Physically_Plausible,E_Above_Hull,Novel_And_Plausible,Internal_Duplicate
runn_95.cif,K2TiTc,True,True,-4.005796432495117,-4.005796432495117,0.0,True,,True,False
runn_139.cif,Cs2SrHg,True,True,-0.7330877780914307,-0.7330878973007202,1.1920928955078125e-07,True,0.3259195130117798,True,False
runn_138.cif,InIr2Au,True,True,-5.870459079742432,-5.870459079742432,0.0,True,,True,False
runn_110.cif,VGaPb2,True,True,-4.554244041442871,-4.554244041442871,0.0,True,,True,False
runn_104.cif,RbDySeO,True,True,-5.3766913414001465,-5.3766913414001465,0.0,True,0.39708377016235374,True,False
runn_94.cif,NbBPb,True,True,-4.999855041503906,-4.999855041503906,0.0,True,1.746559134223606,True,False
runn_80.cif,Sc2CdAu,True,True,-4.675532817840576,-4.675532817840576,0.0,True,0.0,True,False
runn_57.cif,ScZnNi2,True,True,-5.241089344024658,-5.241089820861816,4.76837158203125e-07,True,0.0,True,False
runn_43.cif,TiNiAg2,True,True,-4.751901149749756,-4.751901149749756,0.0,True,0.26404295775024345,True,False
runn_47.cif,ZrV2Ir,True,True,-9.18869686126709,-9.18869686126709,0.0,False,,False,False
runn_53.cif,CaSi2Te,True,True,-3.9934396743774414,-3.9934396743774414,0.0,True,0.8583353604070414,True,False
runn_84.cif,Rb2PrCl2,True,True,-3.2709903717041016,-3.2709903717041016,0.0,True,0.42664388012923204,True,False
runn_90.cif,MnSiCl2,True,True,-5.394956588745117,-5.394956588745117,0.0,True,0.3054348219580074,True,False
runn_128.cif,NaZr3,True,True,-6.394547462463379,-6.394547462463379,0.0,True,0.07239693253662072,True,False
runn_100.cif,MnCrRe,True,True,-10.435516357421875,-10.435516357421875,0.0,False,,False,False
runn_114.cif,InHgSb2,True,True,-2.874150514602661,-2.874150514602661,0.0,True,,True,False
runn_115.cif,AlGaBi2,True,True,-2.9937968254089355,-2.9937968254089355,0.0,True,,True,False
runn_101.cif,CdCoTe2,True,True,-3.6392149925231934,-3.6392152309417725,2.384185791015625e-07,True,0.4505520194442578,True,False
runn_129.cif,BeP4Cl,True,True,-4.604111194610596,-4.604111353556315,1.5894571969710114e-07,True,0.3574466104888234,True,False
runn_91.cif,TaCoReIr,True,True,-10.357549667358398,-10.357549667358398,0.0,False,,False,False
runn_85.cif,CrTe2Rh,True,True,-6.176327705383301,-6.176327705383301,0.0,True,0.0,True,False
runn_52.cif,K2TaNb,True,True,-4.7969970703125,-4.796996593475342,-4.76837158203125e-07,True,1.1649558755425158,True,False
runn_46.cif,LaZr2Ag,True,True,-6.17329740524292,-6.17329740524292,0.0,True,,True,False
runn_50.cif,CaGaBi2,True,True,-3.4581987857818604,-3.4581987857818604,0.0,True,,True,False
runn_44.cif,BeInAgSn,True,True,-3.123685598373413,-3.123685598373413,0.0,True,,True,False
runn_78.cif,NbTlCdAg,True,True,-3.733461380004883,-3.733461380004883,0.0,True,,True,False
runn_93.cif,YMnCr2,True,True,-8.456396102905273,-8.456396102905273,0.0,False,,False,False
runn_87.cif,TiFeCu2,True,True,-5.71749210357666,-5.71749210357666,0.0,True,0.5017506348608398,True,False
runn_117.cif,Mn2InOs,True,True,-7.920191764831543,-7.920191764831543,0.0,False,,False,False
runn_103.cif,Cs2ErHgCl4,True,True,-3.672321319580078,-3.6723215579986572,2.384185791015625e-07,True,,True,False
runn_102.cif,ZrTlCdPt,True,True,-4.592799186706543,-4.592799186706543,0.0,True,,True,False
runn_116.cif,MgCd2Rh,True,True,-2.883199453353882,-2.883199453353882,0.0,True,0.0,True,False
runn_86.cif,KSrAs2,True,True,-3.425426721572876,-3.425426721572876,0.0,True,0.2710139549896242,True,False
runn_92.cif,TiCuNiW,True,True,-7.735311508178711,-7.735311508178711,0.0,False,,False,False
runn_79.cif,Ca2TaZn,True,True,-4.042941570281982,-4.042941570281982,0.0,True,0.29657746346801783,True,False
runn_45.cif,Li2VAg,True,True,-3.6248319149017334,-3.6248319149017334,0.0,True,0.36779996537604465,True,False
runn_51.cif,GaGe2Cl,True,True,-3.9733290672302246,-3.9733290672302246,0.0,True,,True,False
